Category,Subcategory,Enrichment,P-value,P-adjusted,Q-value,Expected,Observed,miRNAs/precursors
Diseases (MNDR),Aids dementia complex,over-represented,0.00011318,0.0012385,0.0012385,0.520923,5,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Alopecia,over-represented,0.0044089,0.0113065,0.0113065,0.344935,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Alzheimer disease,over-represented,6.12315e-08,9.762105400000001e-06,9.76211e-06,5.87798,17,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-4448; hsa-miR-4454; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Amyotrophic lateral sclerosis,over-represented,3.89112e-05,0.000632585,0.000632585,3.13258,11,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Anencephaly,over-represented,0.000611929,0.0029507,0.0029507,0.175987,3,hsa-miR-24-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Angiosarcoma,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p
Diseases (MNDR),Antiphospholipid syndrome,over-represented,0.000299174,0.0019645,0.0019645,0.344935,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Anxiety disorders,over-represented,0.0039147,0.0113065,0.0113065,0.330856,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Aortic valve insufficiency,over-represented,0.0044089,0.0113065,0.0113065,0.344935,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Aortic valve stenosis,over-represented,0.006114,0.0130784,0.0130784,0.387172,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Arthritis,over-represented,0.000481994,0.0024487,0.0024487,1.56981,7,hsa-miR-151a-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Asthma,over-represented,0.022107,0.0373261,0.0373261,0.619476,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Astrocytoma,over-represented,0.000321777,0.0019645,0.0019645,1.47126,7,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Atherosclerosis,over-represented,0.0033918,0.0113065,0.0113065,0.654673,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Atopic dermatitis,over-represented,0.006114,0.0130784,0.0130784,0.387172,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Atrial fibrillation,over-represented,0.0049397,0.0113333,0.0113333,0.359014,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Autism spectrum disorder,over-represented,0.0082517,0.0162291,0.0162291,0.14079,2,hsa-miR-129-5p; hsa-miR-92a-3p
Diseases (MNDR),Autistic disorder,over-represented,0.0055077,0.0121469,0.0121469,0.373093,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p
Diseases (MNDR),Autosomal recessive disease,over-represented,0.0114831,0.0216354,0.0216354,2.04145,6,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-9-5p
Diseases (MNDR),Azoospermia,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p
Diseases (MNDR),B-cell lymphoma,over-represented,0.00107,0.0044769,0.0044769,1.78803,7,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Barretts esophagus,over-represented,0.0034562,0.0113065,0.0113065,0.316777,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Basal-like breast cancer,over-represented,0.0015969,0.0062663,0.0062663,1.37974,6,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Basal cell carcinoma,over-represented,0.008168,0.0161376,0.0161376,0.429409,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Behcet disease,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Biliary atresia,over-represented,0.006114,0.0130784,0.0130784,0.387172,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Biliary tract neoplasm,over-represented,0.0137666,0.0250262,0.0250262,0.183027,2,hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Bladder urothelial carcinoma,over-represented,0.0042999,0.0113065,0.0113065,2.91435,8,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-92a-3p
Diseases (MNDR),Bone disease,over-represented,0.00072074,0.0033615,0.0033615,3.51975,10,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Brain cancer,over-represented,0.0078007,0.015574,0.015574,0.42237,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Brain disease,over-represented,0.002077,0.0076743,0.0076743,4.78686,11,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Brain injuries,over-represented,0.000575684,0.0028238,0.0028238,0.408291,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Brain injury chronic,over-represented,0.0067004,0.0140684,0.0140684,0.126711,2,hsa-miR-193b-3p; hsa-miR-449b-5p
Diseases (MNDR),Brain stem cancer,over-represented,0.000955149,0.004166,0.0041661,0.204145,3,hsa-miR-193b-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Breast cancer,over-represented,7.94256e-05,0.0010043,0.0010043,6.70864,15,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Breast cancer luminal,over-represented,1.1977e-06,7.572125555555555e-05,7.57213e-05,1.72468,10,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-92a-3p
Diseases (MNDR),Breast carcinoma,over-represented,0.0149329,0.0263876,0.0263876,1.54165,5,hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-449c-5p
Diseases (MNDR),Breast invasive carcinoma,over-represented,0.0010966,0.0045213,0.0045213,3.00587,9,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Breast neoplasms,over-represented,1.51458e-05,0.000344718,0.000344718,1.75284,9,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Burkitt lymphoma,over-represented,2.69449e-05,0.000567839,0.000567839,1.4079,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cancer,over-represented,0.0247581,0.0415556,0.0415556,7.38443,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449b-5p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Carcinoma,over-represented,0.000349256,0.0019645,0.0019645,4.70943,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Carcinoma ductal breast,over-represented,0.0010966,0.0045213,0.0045213,3.00587,9,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Carcinoma renal cell,over-represented,0.0114432,0.0216354,0.0216354,2.69613,7,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cardiomegaly,over-represented,0.0154695,0.0272512,0.0272512,0.542041,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cardiomyopathy,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cardiovascular disease,over-represented,1.95675e-07,2.2267815e-05,2.22678e-05,2.36527,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Carotid stenosis,over-represented,3.44915e-05,0.000617703,0.000617703,0.408291,5,hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-24-3p; hsa-miR-652-3p; hsa-miR-92a-3p
Diseases (MNDR),Central nervous system lymphoma,over-represented,0.000611929,0.0029507,0.0029507,0.175987,3,hsa-miR-193b-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cerebral hemorrhage,over-represented,0.0039147,0.0113065,0.0113065,0.330856,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cerebral infarction,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cervical adenocarcinoma,over-represented,1.23535e-05,0.000319506,0.000319506,0.577239,6,hsa-miR-193b-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cervical squamous cell carcinoma,over-represented,3.3524e-06,0.00011922,0.00011922,1.46422,9,hsa-miR-129-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Child development disorders pervasive,over-represented,0.000275969,0.0019645,0.0019645,0.337896,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cholesteatoma,over-represented,0.0041573,0.0113065,0.0113065,0.337896,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Chordoma,over-represented,0.000240279,0.0019645,0.0019645,0.971451,6,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-652-3p; hsa-miR-9-5p
Diseases (MNDR),Chorea,over-represented,8.32521e-05,0.0010079,0.0010079,1.18968,7,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Choriocarcinoma,over-represented,0.0049397,0.0113333,0.0113333,0.359014,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Chronic kidney disease,over-represented,0.0041573,0.0113065,0.0113065,0.337896,3,hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Chronic myeloid leukemia,over-represented,0.0039147,0.0113065,0.0113065,0.330856,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Chronic obstructive pulmonary disease,over-represented,7.45554e-05,0.000986559,0.000986559,0.788424,6,hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Clear cell renal cell carcinoma,over-represented,0.0033536,0.0113065,0.0113065,1.08408,5,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p
Diseases (MNDR),Cocaine-related disorders,over-represented,0.003681,0.0113065,0.0113065,0.323817,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Colon adenocarcinoma,over-represented,0.0048607,0.0113333,0.0113333,2.97067,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-92a-3p
Diseases (MNDR),Colon cancer,over-represented,0.012155,0.0227506,0.0227506,11.1365,16,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-4448; hsa-miR-4454; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Colorectal cancer,over-represented,0.0158781,0.0278005,0.0278005,7.99687,13,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449c-5p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Combined hepatocellular cholangiocarcinoma,over-represented,0.0067004,0.0140684,0.0140684,0.126711,2,hsa-miR-24-3p; hsa-miR-378a-3p
Diseases (MNDR),Coronary artery disease,over-represented,0.0025448,0.0091646,0.0091646,0.605397,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cowden disease,over-represented,0.000436783,0.0022431,0.0022431,0.380133,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Cryptosporidiosis,over-represented,0.000323754,0.0019645,0.0019645,0.351975,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Dementia,over-represented,0.0044089,0.0113065,0.0113065,0.344935,3,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-92a-3p
Diseases (MNDR),Demyelinating disease,over-represented,0.000299174,0.0019645,0.0019645,0.344935,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Dermatomyositis,over-represented,0.0015232,0.0060188,0.0060188,0.908095,5,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Diseases (MNDR),Diabetes mellitus,over-represented,0.0011525,0.0047177,0.0047177,3.7239,10,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Diabetic nephropathies,over-represented,0.000575684,0.0028238,0.0028238,0.408291,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Diffuse large b cell lymphoma,over-represented,0.0177274,0.0309414,0.0309414,0.570199,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Digestive system neoplasms,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Dilated cardiomyopathy,over-represented,0.008168,0.0161376,0.0161376,0.429409,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Distal muscular dystrophy,over-represented,0.0064316,0.0136551,0.0136551,0.394212,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Down syndrome,over-represented,0.0054229,0.0121004,0.0121004,1.21079,5,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Duchenne muscular dystrophy,over-represented,0.000105989,0.0011825,0.0011825,0.513883,5,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Duke A,over-represented,0.0099492,0.0192553,0.0192553,0.154869,2,hsa-miR-378a-3p; hsa-miR-92a-3p
Diseases (MNDR),Dysautonomia familial,over-represented,0.00014932,0.0014906,0.0014906,1.78099,8,hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449a; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Eclampsia,over-represented,0.000275969,0.0019645,0.0019645,0.337896,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Ehrlich tumor carcinoma,over-represented,0.0046697,0.0113065,0.0113065,0.351975,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Encephalomyelitis,over-represented,0.0010566,0.0044534,0.0044534,0.211185,3,hsa-miR-24-3p; hsa-miR-378a-3p; hsa-miR-92a-3p
Diseases (MNDR),Endometrial cancer,over-represented,0.0138915,0.0250292,0.0250292,0.520923,3,hsa-miR-129-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Endometrial carcinoma,over-represented,0.00037723,0.0020249,0.0020249,0.366054,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Endometriosis,over-represented,0.008168,0.0161376,0.0161376,0.429409,3,hsa-miR-24-3p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Endomyocardial fibrosis,over-represented,0.0044089,0.0113065,0.0113065,0.344935,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Ependymoma,over-represented,1.13031e-05,0.00030626,0.00030626,1.25303,8,hsa-miR-129-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Epilepsy temporal lobe,over-represented,5.66105e-08,9.762105400000001e-06,9.76211e-06,0.633555,8,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-449b-5p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Epstein-barr virus infections,over-represented,0.0293184,0.0484947,0.0484947,0.689871,3,hsa-miR-193b-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Esophageal carcinoma,over-represented,0.001822,0.0069113,0.0069113,1.41494,6,hsa-miR-129-5p; hsa-miR-151b; hsa-miR-24-3p; hsa-miR-375-3p; hsa-miR-874-3p; hsa-miR-92a-3p
Diseases (MNDR),Esophagus,over-represented,0.0049397,0.0113333,0.0113333,0.359014,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Estrogen-receptor negative breast cancer,over-represented,0.013334,0.0244743,0.0244743,4.26594,9,hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-378a-3p; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Estrogen-receptor positive breast cancer,over-represented,0.000328495,0.0019645,0.0019645,4.68127,12,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-375-3p; hsa-miR-378a-3p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Ewing sarcoma,over-represented,0.0078007,0.015574,0.015574,0.42237,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Eye disease,over-represented,0.000273688,0.0019645,0.0019645,3.83653,11,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-193b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-449a; hsa-miR-449b-5p; hsa-miR-652-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
Diseases (MNDR),Fatty liver,over-represented,0.003681,0.0113065,0.0113065,0.323817,3,hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Fibromyalgia,over-represented,0.0128939,0.0238202,0.0238202,0.506844,3,hsa-miR-151a-5p; hsa-miR-652-3p; hsa-miR-92a-3p
Diseases (MNDR),Fibrosis,over-represented,0.000323754,0.0019645,0.0019645,0.351975,4,hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-9-5p; hsa-miR-92a-3p
Diseases (MNDR),Follicular lymphoma,over-represented,0.0046562,0.0113065,0.0113065,0.105592,2,hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Fragile x syndrome,over-represented,0.000145787,0.0014813,0.0014813,0.549081,5,hsa-miR-129-5p; hsa-miR-193b-3p; hsa-miR-34c-5p; hsa-miR-652-3p; hsa-miR-9-5p
Diseases (MNDR),Friedreich ataxia,over-represented,0.0137666,0.0250262,0.0250262,0.183027,2,hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Gait ataxia,over-represented,0.0148062,0.0262453,0.0262453,0.190066,2,hsa-miR-9-5p; hsa-miR-9-3p
Diseases (MNDR),Gastric adenocarcinoma,over-represented,9.46052e-05,0.0011191,0.0011191,2.7806,10,hsa-miR-129-5p; hsa-miR-151a-5p; hsa-miR-151b; hsa-miR-193b-3p; hsa-miR-378a-3p; hsa-miR-652-3p; hsa-miR-874-3p; hsa-miR-9-5p; hsa-miR-9-3p; hsa-miR-92a-3p
